t,v
01-01-2021 11:44,7.571429004
01-01-2021 11:44,7.253968648
01-01-2021 17:13,6.968254449
01-01-2021 20:52,6.476190534
02-01-2021 13:18,6.079365089
02-01-2021 13:18,5.634920712
02-01-2021 13:18,5.349206513
02-01-2021 16:57,5.031746157
02-01-2021 20:36,4.730158576
02-01-2021 20:36,4.523808255
03-01-2021 7:33,5.142857402
03-01-2021 20:20,4.984127224
04-01-2021 9:07,4.873015979
04-01-2021 10:57,4.603173344
04-01-2021 21:54,4.158730178
05-01-2021 5:13,4.682538433
05-01-2021 17:59,4.428571602
05-01-2021 21:39,4.809523665
06-01-2021 4:57,5.158730178
06-01-2021 14:05,4.984127224
06-01-2021 17:44,5.253968043
07-01-2021 2:52,5.634920712
07-01-2021 8:20,5.349206513
07-01-2021 12:00,4.968253843
07-01-2021 19:18,4.777777509
08-01-2021 4:26,4.825397046
08-01-2021 8:05,5.095237865
08-01-2021 13:33,5.41269822
09-01-2021 4:10,6
09-01-2021 11:28,5.746031957
09-01-2021 18:46,5.920634911
10-01-2021 2:05,6.222222491
10-01-2021 13:02,6.09523847
10-01-2021 18:31,6.349206513
11-01-2021 3:39,6.523809466
11-01-2021 7:18,6.158730178
11-01-2021 7:18,5.857143203
11-01-2021 12:46,5.492063309
11-01-2021 21:54,6
12-01-2021 8:52,5.936508292
12-01-2021 8:52,5.555555623
12-01-2021 12:31,5.238095267
12-01-2021 17:59,4.714285801
13-01-2021 01:18,5.015872776
13-01-2021 06:46,5.238095267
13-01-2021 08:36,4.476190534
13-01-2021 21:23,4.253968043
14-01-2021 02:52,4.650793487
14-01-2021 17:28,4.063491708
14-01-2021 21:07,4.285712988
15-01-2021 00:46,4.428571602
15-01-2021 11:44,4.158730178
15-01-2021 17:13,4.460317153
16-01-2021 04:10,4.317460356
16-01-2021 13:18,3.777777509
16-01-2021 13:18,4.095237865
17-01-2021 03:54,4.730158576
17-01-2021 07:33,4.222221886
17-01-2021 13:02,3.69841242
17-01-2021 18:31,3.936507687
18-01-2021 10:57,3.603174555
18-01-2021 21:54,4.253968043
