t,v
01-01-2022 03:56,230.8423
01-01-2022 14:31,222.8735
01-01-2022 23:19,231.311
02-01-2022 11:39,223.811
02-01-2022 20:28,260.3735
03-01-2022 12:20,220.061
04-01-2022 02:26,226.6235
04-01-2022 07:43,220.9985
04-01-2022 16:31,224.7485
04-01-2022 23:34,236.936
05-01-2022 10:09,235.5298
05-01-2022 15:26,224.2798
05-01-2022 22:29,225.686
06-01-2022 16:06,326.936
07-01-2022 23:49,257.561
08-01-2022 17:27,271.6235
09-01-2022 05:47,318.4985
09-01-2022 21:39,304.436
11-01-2022 00:05,314.2798
11-01-2022 10:39,310.5298
12-01-2022 07:48,320.8423
12-01-2022 21:54,307.7173
13-01-2022 08:28,318.0298
13-01-2022 17:17,306.7798
14-01-2022 09:08,319.436
15-01-2022 02:46,305.3735
15-01-2022 08:03,314.2798
15-01-2022 23:54,295.5298
16-01-2022 08:43,318.9673
16-01-2022 22:49,239.7485
17-01-2022 09:23,284.2798
17-01-2022 23:29,229.9048
18-01-2022 15:21,322.2485
18-01-2022 20:38,320.3735
19-01-2022 05:27,323.186
19-01-2022 14:15,313.3423
20-01-2022 14:56,319.9048
21-01-2022 05:02,312.4048
22-01-2022 07:28,230.8423
23-01-2022 01:05,301.6235
23-01-2022 08:08,288.0298
24-01-2022 01:45,280.9985
24-01-2022 08:48,285.686
24-01-2022 15:51,284.7485
25-01-2022 00:40,286.6235
25-01-2022 23:34,260.8423
26-01-2022 08:23,279.5923
26-01-2022 17:12,243.0298
27-01-2022 02:00,259.436
27-01-2022 19:38,235.061
27-01-2022 19:38,242.561
28-01-2022 06:12,244.9048
28-01-2022 16:47,284.2798
29-01-2022 08:38,243.9673
29-01-2022 15:41,307.2485
30-01-2022 07:33,225.686
30-01-2022 21:39,226.6235
31-01-2022 08:13,285.686
01-02-2022 03:36,257.561
01-02-2022 15:56,318.9673
02-02-2022 02:31,307.2485
02-02-2022 07:48,302.0923
02-02-2022 14:51,260.3735
03-02-2022 01:25,255.686
03-02-2022 10:14,229.436
04-02-2022 09:08,310.9985
05-02-2022 20:23,228.4985
06-02-2022 03:26,233.186
06-02-2022 12:15,225.2173
06-02-2022 17:32,238.3423
07-02-2022 04:06,233.6548
07-02-2022 12:55,235.061
08-02-2022 22:24,223.811
09-02-2022 10:44,309.1235
09-02-2022 19:33,274.9048
10-02-2022 11:24,310.061
10-02-2022 20:13,298.3423
11-02-2022 01:30,306.311
11-02-2022 19:07,312.8735
12-02-2022 05:42,303.4985
12-02-2022 19:48,314.7485
13-02-2022 08:08,284.7485
13-02-2022 20:28,312.4048
14-02-2022 05:17,308.186
14-02-2022 17:37,308.6548
15-02-2022 02:26,306.311
15-02-2022 18:17,312.8735
16-02-2022 13:40,309.5923
17-02-2022 09:03,232.2485
18-02-2022 00:55,234.5923
18-02-2022 11:29,270.2173
18-02-2022 15:01,230.8423
18-02-2022 23:49,235.061
19-02-2022 17:27,230.3735
