t,v
1-1-21   4:26,68.38235
1-2-21   4:26,64.70588
1-3-21   4:26,59.31372
1-4-21   4:26,54.16666
1-5-21   4:26,56.86274
1-6-21   4:26,62.74509
1-7-21   4:26,66.42156
1-8-21   4:26,70.09803
1-9-21   4:26,74.2647
2-1-21   15:7,77.45097
2-1-21   20:36,79.16666
3-1-21   7:33,75.24509
3-1-21   9:23,72.05882
3-1-21   7:33,69.36274
3-1-21   16:41,77.20588
3-1-21   22:10,79.90195
3-1-21   22:10,82.35293
4-1-21   0:0,85.53921
4-1-21   5:28,75.24509
4-1-21   5:28,72.54901
1-1-21   4:26,82.49483132
1-2-21   4:26,83.57510535
1-3-21   4:26,84.65537938
1-4-21   4:26,85.73565341
1-5-21   4:26,86.81592744
1-6-21   4:26,87.89620147
1-7-21   4:26,88.9764755
1-8-21   4:26,90.05674953
1-9-21   4:26,91.13702356
2-1-21   15:7,92.21729759
2-1-21   20:36,93.29757162
3-1-21   7:33,94.37784565
3-1-21   9:23,95.45811968
3-1-21   7:33,96.53839371
3-1-21   16:41,97.61866774
3-1-21   22:10,98.69894177
3-1-21   22:10,99.7792158
4-1-21   0:0,100.8594898
4-1-21   5:28,101.9397639
4-1-21   5:28,103.0200379
1-1-21   4:26,104.1003119
1-2-21   4:26,105.1805859
1-3-21   4:26,106.26086
1-4-21   4:26,107.341134
1-5-21   4:26,108.421408
1-6-21   4:26,109.5016821
1-7-21   4:26,110.5819561
1-8-21   4:26,111.6622301
1-9-21   4:26,112.7425042
2-1-21   15:7,113.8227782
2-1-21   20:36,114.9030522
3-1-21   7:33,115.9833262
3-1-21   9:23,117.0636003
3-1-21   7:33,118.1438743
3-1-21   16:41,119.2241483
3-1-21   22:10,120.3044224
3-1-21   22:10,121.3846964
4-1-21   0:0,122.4649704
4-1-21   5:28,123.5452445
4-1-21   5:28,124.6255185
1-1-21   4:26,125.7057925
1-2-21   4:26,126.7860665
1-3-21   4:26,127.8663406
1-4-21   4:26,128.9466146
1-5-21   4:26,130.0268886
1-6-21   4:26,131.1071627
1-7-21   4:26,132.1874367
1-8-21   4:26,133.2677107
1-9-21   4:26,134.3479848
2-1-21   15:7,135.4282588
2-1-21   20:36,136.5085328
3-1-21   7:33,137.5888068
3-1-21   9:23,138.6690809
12-1-21   8:52,70.34313
12-1-21   8:52,67.15686
12-1-21   8:52,62.99019
12-1-21   21:39,67.40196
12-1-21   23:28,64.46078
13-01-2021 08:36,60.78431
13-01-2021 15:54,67.64705
14-01-2021 08:20,64.21568
14-01-2021 19:18,67.64705
15-01-2021 02:36,62.2549
15-01-2021 09:54,65.44117
15-01-2021 19:02,70.58823
16-01-2021 00:31,59.80392
16-01-2021 09:39,63.72549
16-01-2021 18:46,57.59803
16-01-2021 18:46,53.92156
16-01-2021 22:26,49.5098
17-01-2021 03:54,46.56862
17-01-2021 05:44,51.47058
17-01-2021 09:23,56.12745
17-01-2021 14:52,53.67647
17-01-2021 22:10,49.2647
18-01-2021 01:49,45.83333
18-01-2021 05:28,51.22549
18-01-2021 05:28,55.39215
18-01-2021 07:18,57.84313
18-01-2021 07:18,62.2549
18-01-2021 20:05,60.29411
18-01-2021 21:54,54.90196
19-01-2021 01:33,50.73529
19-01-2021 01:33,48.28431
19-01-2021 19:49,50.98039
19-01-2021 19:49,55.39215
20-01-2021 12:15,56.12745
20-01-2021 12:15,59.55882
21-01-2021 02:52,64.70588
21-01-2021 10:10,59.55882
21-01-2021 10:10,54.65686
21-01-2021 15:39,49.7549
21-01-2021 21:07,42.64706
22-01-2021 08:05,43.87255
22-01-2021 13:33,40.44115
23-01-2021 00:31,41.42157
23-01-2021 04:10,46.56862
23-01-2021 07:49,52.20588
23-01-2021 07:49,56.61764
23-01-2021 07:49,60.78431
23-01-2021 09:39,64.46078
23-01-2021 13:18,70.09803
23-01-2021 22:26,66.91176
24-01-2021 00:15,61.5196
24-01-2021 05:44,63.72549
24-01-2021 05:44,68.87254
24-01-2021 05:44,72.54901
24-01-2021 05:44,76.71568
24-01-2021 03:54,78.43137
24-01-2021 20:20,80.14705
24-01-2021 20:20,76.47058
24-01-2021 20:20,72.79411
25-01-2021 01:49,66.17647
25-01-2021 05:28,74.2647
25-01-2021 09:07,78.18627
25-01-2021 10:57,82.35293
25-01-2021 20:05,85.78431
25-01-2021 20:05,80.39215
25-01-2021 23:44,75.73529
25-01-2021 23:44,71.07843
26-01-2021 12:31,76.47058
26-01-2021 18:00,81.61764
26-01-2021 21:39,74.0196
26-01-2021 21:39,69.85294
27-01-2021 08:36,76.96078
27-01-2021 21:23,74.0196
27-01-2021 21:23,70.34313
28-01-2021 04:41,64.46078
28-01-2021 10:10,68.13725
28-01-2021 11:59,72.79411
28-01-2021 17:28,75.73529
29-01-2021 08:05,69.11764
29-01-2021 11:44,63.48039
30-01-2021 02:20,62.2549
30-01-2021 06:00,67.40196
30-01-2021 13:18,72.05882
30-01-2021 11:28,75.73529
30-01-2021 16:57,79.90195
30-01-2021 20:36,74.0196
30-01-2021 22:26,68.62745
30-01-2021 22:26,65.44117
31-01-2021 02:05,59.55882
31-01-2021 05:44,66.66666
31-01-2021 07:33,70.09803
31-01-2021 09:23,73.7745
31-01-2021 20:20,71.32352
31-01-2021 20:20,67.89215
31-01-2021 23:59,62.0098
1-2-21   1:49,54.65686
1-2-21   7:18,48.52941
1-2-21   16:26,44.36274
2-2-21   1:33,42.64706
2-2-21   8:52,45.58823
2-2-21   17:59,39.95098
3-2-21   1:18,43.13725
3-2-21   3:7,45.58823
3-2-21   8:36,49.2647
4-2-21   2:52,45.58823
4-2-21   2:52,50
4-2-21   6:31,55.88235
4-2-21   10:10,60.78431
4-2-21   12:0,64.46078
4-2-21   15:39,67.15686
4-2-21   19:18,72.30392
4-2-21   22:57,76.71568
4-2-21   22:57,83.57842
5-2-21   2:36,88.48038
5-2-21   9:54,93.13725
5-2-21   11:44,97.05881
5-2-21   17:13,100.2451
5-2-21   17:13,102.9412
6-2-21   4:10,94.36274
6-2-21   4:10,89.46078
6-2-21   7:49,84.31372
6-2-21   11:28,80.88235
6-2-21   9:39,76.96078
6-2-21   18:46,78.92156
6-2-21   18:46,74.2647
